director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
James Cameron,CCH Pounder,Wes Studi,Wes Studi,Action Adventure Fantasy Sci-Fi,avatar
Gore Verbinski,Johnny Depp,Jack Davenport,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: at world's end
Sam Mendes,Christoph Waltz,Stephanie Sigman,Stephanie Sigman,Action Adventure Thriller,spectre
Christopher Nolan,Tom Hardy,Joseph Gordon-Levitt,Joseph Gordon-Levitt,Action Thriller,the dark knight rises
Doug Walker,Doug Walker,unknown,unknown,Documentary,star wars: episode vii - the force awakens            
Andrew Stanton,Daryl Sabara,Polly Walker,Polly Walker,Action Adventure Sci-Fi,john carter
Sam Raimi,J.K. Simmons,Kirsten Dunst,Kirsten Dunst,Action Adventure Romance,spider-man 3
Nathan Greno,Brad Garrett,M.C. Gainey,M.C. Gainey,Adventure Animation Comedy Family Fantasy Musical Romance,tangled
Joss Whedon,Chris Hemsworth,Scarlett Johansson,Scarlett Johansson,Action Adventure Sci-Fi,avengers: age of ultron
David Yates,Alan Rickman,Rupert Grint,Rupert Grint,Adventure Family Fantasy Mystery,harry potter and the half-blood prince
Zack Snyder,Henry Cavill,Alan D. Purwin,Alan D. Purwin,Action Adventure Sci-Fi,batman v superman: dawn of justice
Bryan Singer,Kevin Spacey,Frank Langella,Frank Langella,Action Adventure Sci-Fi,superman returns
Marc Forster,Giancarlo Giannini,Rory Kinnear,Rory Kinnear,Action Adventure,quantum of solace
Gore Verbinski,Johnny Depp,Jack Davenport,Jack Davenport,Action Adventure Fantasy,pirates of the caribbean: dead man's chest
Gore Verbinski,Johnny Depp,Tom Wilkinson,Tom Wilkinson,Action Adventure Western,the lone ranger
Zack Snyder,Henry Cavill,Harry Lennix,Harry Lennix,Action Adventure Fantasy Sci-Fi,man of steel
Andrew Adamson,Peter Dinklage,Damián Alcázar,Damián Alcázar,Action Adventure Family Fantasy,the chronicles of narnia: prince caspian
Joss Whedon,Chris Hemsworth,Scarlett Johansson,Scarlett Johansson,Action Adventure Sci-Fi,the avengers
Rob Marshall,Johnny Depp,Stephen Graham,Stephen Graham,Action Adventure Fantasy,pirates of the caribbean: on stranger tides
Barry Sonnenfeld,Will Smith,Nicole Scherzinger,Nicole Scherzinger,Action Adventure Comedy Family Fantasy Sci-Fi,men in black 3
Peter Jackson,Aidan Turner,James Nesbitt,James Nesbitt,Adventure Fantasy,the hobbit: the battle of the five armies
Marc Webb,Emma Stone,Chris Zylka,Chris Zylka,Action Adventure Fantasy,the amazing spider-man
Ridley Scott,Mark Addy,Scott Grimes,Scott Grimes,Action Adventure Drama History,robin hood
Peter Jackson,Aidan Turner,James Nesbitt,James Nesbitt,Adventure Fantasy,the hobbit: the desolation of smaug
Chris Weitz,Christopher Lee,Kristin Scott Thomas,Kristin Scott Thomas,Adventure Family Fantasy,the golden compass
Peter Jackson,Naomi Watts,Evan Parke,Evan Parke,Action Adventure Drama Romance,king kong
James Cameron,Leonardo DiCaprio,Gloria Stuart,Gloria Stuart,Drama Romance,titanic
Anthony Russo,Robert Downey Jr.,Chris Evans,Chris Evans,Action Adventure Sci-Fi,captain america: civil war
Peter Berg,Liam Neeson,Tadanobu Asano,Tadanobu Asano,Action Adventure Sci-Fi Thriller,battleship
Colin Trevorrow,Bryce Dallas Howard,Omar Sy,Omar Sy,Action Adventure Sci-Fi Thriller,jurassic world
Sam Mendes,Albert Finney,Rory Kinnear,Rory Kinnear,Action Adventure Thriller,skyfall
Sam Raimi,J.K. Simmons,Kirsten Dunst,Kirsten Dunst,Action Adventure Fantasy Romance,spider-man 2
Shane Black,Robert Downey Jr.,Don Cheadle,Don Cheadle,Action Adventure Sci-Fi,iron man 3
Tim Burton,Johnny Depp,Anne Hathaway,Anne Hathaway,Adventure Family Fantasy,alice in wonderland
Brett Ratner,Hugh Jackman,Daniel Cudmore,Daniel Cudmore,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
Dan Scanlon,Steve Buscemi,Sean Hayes,Sean Hayes,Adventure Animation Comedy Family Fantasy,monsters university
Michael Bay,Glenn Morshower,Ramon Rodriguez,Ramon Rodriguez,Action Adventure Sci-Fi,transformers: revenge of the fallen
Michael Bay,Bingbing Li,Kelsey Grammer,Kelsey Grammer,Action Adventure Sci-Fi,transformers: age of extinction
Sam Raimi,Tim Holmes,James Franco,James Franco,Adventure Family Fantasy,oz the great and powerful
Marc Webb,Emma Stone,B.J. Novak,B.J. Novak,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
Joseph Kosinski,Jeff Bridges,James Frain,James Frain,Action Adventure Sci-Fi,tron: legacy
John Lasseter,Joe Mantegna,Eddie Izzard,Eddie Izzard,Adventure Animation Comedy Family Sport,cars 2
Martin Campbell,Ryan Reynolds,Taika Waititi,Taika Waititi,Action Adventure Sci-Fi,green lantern
Lee Unkrich,Tom Hanks,Don Rickles,Don Rickles,Adventure Animation Comedy Family Fantasy,toy story 3
McG,Christian Bale,Common,Common,Action Adventure Sci-Fi,terminator salvation
James Wan,Jason Statham,Vin Diesel,Vin Diesel,Action Crime Thriller,furious 7
Marc Forster,Peter Capaldi,Mireille Enos,Mireille Enos,Action Adventure Horror Sci-Fi Thriller,world war z
Bryan Singer,Jennifer Lawrence,Hugh Jackman,Hugh Jackman,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
J.J. Abrams,Benedict Cumberbatch,Noel Clarke,Noel Clarke,Action Adventure Sci-Fi,star trek into darkness
Bryan Singer,Eddie Marsan,Ralph Brown,Ralph Brown,Adventure Fantasy,jack the giant slayer
Baz Luhrmann,Leonardo DiCaprio,Steve Bisley,Steve Bisley,Drama Romance,the great gatsby
Mike Newell,Jake Gyllenhaal,Reece Ritchie,Reece Ritchie,Action Adventure Fantasy Romance,prince of persia: the sands of time
Guillermo del Toro,Charlie Hunnam,Larry Joe Campbell,Larry Joe Campbell,Action Adventure Sci-Fi,pacific rim
Michael Bay,Glenn Morshower,Kevin Dunn,Kevin Dunn,Action Adventure Sci-Fi,transformers: dark of the moon
Steven Spielberg,Harrison Ford,Jim Broadbent,Jim Broadbent,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
Peter Sohn,A.J. Buckley,Peter Sohn,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur
Mark Andrews,Kelly Macdonald,Julie Walters,Julie Walters,Adventure Animation Comedy Family Fantasy,brave
Justin Lin,Sofia Boutella,Lydia Wilson,Lydia Wilson,Action Adventure Sci-Fi Thriller,star trek beyond
Andrew Stanton,John Ratzenberger,Jeff Garlin,Jeff Garlin,Adventure Animation Family Sci-Fi,wall·e
Brett Ratner,Tzi Ma,Noémie Lenoir,Noémie Lenoir,Action Comedy Crime Thriller,rush hour 3
Roland Emmerich,Oliver Platt,Tom McCarthy,Tom McCarthy,Action Adventure Sci-Fi,2012
